Job Id,Work Type,Job Title,Experience,Qualifications,Salary Range,location,Country,Role,Job Description
11,Contract,QA Analyst,3 to 10 Years,BCA,$57K-$104K,Manama,Bahrain,Performance Testing Specialist,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.. Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis. Focus on performance and load testing to assess the scalability and responsiveness of software applications. Identify bottlenecks and optimize application performance. Generate performance test reports and recommendations."
12,Contract,Litigation Attorney,4 to 12 Years,B.Tech,$64K-$98K,The City of Hamilton,Bermuda,Family Law Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.. Family law Divorce proceedings Child custody Mediation Legal counseling Court representation. Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services."
13,Part-Time,Mechanical Engineer,3 to 15 Years,MCA,$65K-$122K,Kingston,Jamaica,Mechanical Design Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.. Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping. Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses."
14,Temporary,Network Administrator,1 to 8 Years,B.Com,$56K-$86K,Banjul,Gambia,Network Security Analyst,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.. Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail. Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures."
15,Full-Time,Account Manager,1 to 9 Years,MCA,$57K-$98K,Damascus,Syrian Arab Republic,Sales Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.. Account management Sales strategy Negotiation and closing skills. Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts."
16,Part-Time,Brand Manager,4 to 12 Years,M.Com,$65K-$100K,Sanaa,Yemen,Product Brand Manager,A Product Brand Manager focuses on promoting and managing the brand identity of specific products or product lines within a companys portfolio.. Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting. Manage the branding of specific products or product lines. Create product launch plans and marketing campaigns. Ensure consistent product messaging and brand representation.
17,Part-Time,Social Worker,5 to 14 Years,M.Tech,$60K-$83K,San Marino,San Marino,School Social Worker,"Support students social and emotional well-being in schools, collaborate with educators, and connect families with resources.. School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification. Collaborate with schools to support students academic and social needs. Conduct assessments and provide counseling and resources. Advocate for students and families."
18,Full-Time,Social Media Coordinator,0 to 11 Years,BA,$55K-$117K,Papeete,French Polynesia,Content Creator,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.. Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity. Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments."
19,Contract,Email Marketing Specialist,3 to 12 Years,BA,$55K-$121K,Seoul,North Korea,Deliverability Analyst,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.. Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail. Focus on email deliverability, monitoring email sender reputation and list quality. Troubleshoot email delivery issues and maintain sender compliance. Implement best practices for inbox placement."
20,Temporary,HR Generalist,5 to 9 Years,PhD,$65K-$128K,Kinshasa,Democratic Republic Of Congo,HR Coordinator,"HR Coordinators assist in HR functions such as recruitment, onboarding, and employee record maintenance. They often handle administrative tasks, organize training programs, and provide support to the HR department in various ways.. Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills. Assist with recruitment activities, including posting job openings, coordinating interviews, and managing applicant data. Ensure a positive candidate experience. Maintain recruitment records and metrics."
21,Full-Time,Legal Assistant,0 to 15 Years,B.Tech,$62K-$120K,Baku,Azerbaijan,Legal Secretary,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.. Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office). Provide administrative support to legal professionals, including scheduling appointments and managing calendars. Prepare legal correspondence and forms. Maintain legal databases and records."
22,Intern,Nurse Practitioner,0 to 10 Years,BCA,$64K-$98K,Funafuti,Tuvalu,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.. Family medicine Health assessment Pediatric care Chronic disease management Patient education. Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
23,Intern,Account Director,1 to 8 Years,M.Tech,$58K-$116K,Asmara,Eritrea,Account Strategist,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.. Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills. Develop account strategies and marketing plans to achieve client objectives. Analyze campaign performance data and provide strategic recommendations. Collaborate with cross-functional teams."
24,Temporary,Software Engineer,2 to 14 Years,PhD,$62K-$124K,Tegucigalpa,Honduras,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.. Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django). Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend."
25,Temporary,Purchasing Agent,3 to 9 Years,MBA,$60K-$104K,Road Town,British Virgin Islands,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.. Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination. Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency."
26,Temporary,Purchasing Agent,4 to 12 Years,BBA,$58K-$107K,Havana,Cuba,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.. Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination. Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency."
27,Contract,Sales Consultant,5 to 15 Years,M.Tech,$59K-$88K,Budapest,Hungary,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.. B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research. Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals."
28,Part-Time,Civil Engineer,4 to 15 Years,BA,$64K-$100K,Banjul,Gambia,Structural Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.. Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment. Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors."
29,Intern,Network Security Specialist,0 to 12 Years,M.Com,$63K-$86K,Funafuti,Tuvalu,Security Operations Center (SOC) Analyst,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.. SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage. Work in SOC teams to monitor and respond to security incidents. Investigate and analyze security alerts and incidents. Maintain security documentation and incident reports."
30,Intern,UI Developer,2 to 10 Years,BBA,$65K-$119K,AsunciÃ³n,Paraguay,Front-End Developer,"A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.. Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility. Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience."
31,Intern,Financial Planner,4 to 8 Years,BA,$55K-$83K,Amman,Jordan,Tax Planner,"Assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations.. Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance. Focus on tax planning and optimization, helping clients minimize tax liabilities. Stay updated on tax laws and regulations. Provide tax-efficient financial strategies."
32,Part-Time,Event Planner,3 to 8 Years,BA,$65K-$115K,Santiago,Chile,Event Coordinator,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.. Event planning Vendor coordination Budget management Marketing and promotion Logistics. Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution."
33,Contract,Psychologist,1 to 14 Years,M.Com,$57K-$121K,Abuja,Nigeria,Clinical Psychologist,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.. Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills. Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support."
34,Contract,Electrical Designer,1 to 13 Years,B.Com,$65K-$82K,Tripoli,Libya,Electrical Engineer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.. Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving. Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors."
35,Temporary,Electrical Designer,0 to 8 Years,M.Com,$62K-$130K,Canberra,Australia,Lighting Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.. Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge. Specialize in lighting design, creating lighting plans for interiors and exteriors. Select lighting fixtures and systems. Enhance visual appeal and energy efficiency through lighting design."
36,Part-Time,Data Analyst,3 to 10 Years,M.Com,$58K-$129K,Noumea,New Caledonia,Business Intelligence Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.. Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making. Gather and analyze data to provide insights for decision-making using tools like Tableau or Power BI. Create data visualizations and reports. Identify trends and patterns in data."
37,Intern,Technical Writer,0 to 12 Years,PhD,$60K-$89K,Muscat,Oman,Content Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.. Writing skills Content creation SEO knowledge Research skills Grammar and proofreading. Write informative and engaging content for websites, blogs, and marketing materials. Conduct research and interviews to gather information. Tailor content to target audiences."
38,Temporary,UX/UI Designer,0 to 8 Years,BA,$64K-$103K,Gaza,West Bank and Gaza,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.. UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design. Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms."
39,Part-Time,Tax Consultant,4 to 12 Years,M.Com,$57K-$100K,Honiara,Solomon Islands,Personal Tax Consultant,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.. Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency. Assist individuals and families with personal income tax planning and compliance. Prepare and file tax returns. Provide tax advice and financial planning.
40,Full-Time,Software Tester,5 to 10 Years,MBA,$58K-$81K,SÃ£o TomÃ©,Sao Tome and Principe,Automation Tester,"An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.. Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management. Implement and maintain test automation frameworks. Write automated test scripts for regression testing. Analyze test results and provide feedback for continuous improvement."
41,Intern,Account Executive,5 to 14 Years,BCA,$56K-$109K,Yamoussoukro,Cote d'Ivoire,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.. Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge. Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas."
42,Part-Time,Systems Administrator,2 to 13 Years,BCA,$55K-$121K,Quito,Ecuador,IT Support Specialist,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.. Technical troubleshooting Hardware and software support Customer service Problem-solving Communication. Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base."
43,Intern,Account Director,4 to 9 Years,BA,$62K-$129K,Charlotte Amalie,Virgin Islands (U.S.),Account Strategist,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.. Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills. Develop account strategies and marketing plans to achieve client objectives. Analyze campaign performance data and provide strategic recommendations. Collaborate with cross-functional teams."
44,Part-Time,Digital Marketing Specialist,0 to 10 Years,PhD,$65K-$95K,Yaounde,Cameroon,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.. Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising. Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics."
45,Temporary,Database Administrator,1 to 15 Years,BBA,$56K-$82K,Yaounde,Cameroon,Database Developer,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.. Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge. Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures."
46,Intern,Research Analyst,1 to 15 Years,B.Tech,$59K-$80K,Moroni,Comoros,Social Science Researcher,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.. Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy. Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects."
47,Temporary,Data Entry Clerk,3 to 9 Years,B.Tech,$56K-$109K,Madrid,Spain,Record Keeper,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.. Records management Data entry and retrieval Attention to detail. Maintain records, files, and documentation in an organized manner. Ensure compliance with record-keeping policies and regulations. Retrieve and update records as needed."
48,Intern,Registered Nurse,5 to 14 Years,MCA,$64K-$130K,Belmopan,Belize,Staff Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.. Nursing care Patient assessment Medical knowledge. Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans."
49,Temporary,Tax Consultant,3 to 8 Years,BA,$59K-$89K,Valletta,Malta,International Tax Consultant,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.. International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency. Specialize in international tax law and cross-border tax issues. Provide guidance on international tax planning and transfer pricing. Ensure compliance with global tax regulations."
50,Temporary,Investment Analyst,4 to 8 Years,MCA,$57K-$97K,Panama City,Panama,Risk Analyst,"A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.. Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge. Evaluate investment risks, including market, credit, and operational risks. Develop risk models and stress tests. Implement risk management strategies and controls."
51,Temporary,Speech Therapist,5 to 10 Years,M.Com,$62K-$127K,Yaounde,Cameroon,Speech Pathologist,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication.. Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills. Diagnose and treat a wide range of speech and language disorders across age groups. Use assessment tools and therapeutic techniques. Help individuals improve their communication abilities."
52,Contract,Sales Manager,4 to 8 Years,B.Com,$55K-$105K,Yaounde,Cameroon,Regional Sales Director,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.. Sales strategy development Territory management Sales team leadership. Oversee sales activities and strategy for a specific geographic region. Develop sales plans and objectives. Analyze regional market trends and competition."
53,Full-Time,Social Worker,4 to 10 Years,BCA,$59K-$123K,Brazzaville,Republic Of Congo,Mental Health Counselor,"Offer counseling and therapy services to individuals, couples, or groups, helping them address mental health concerns.. Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification. Offer mental health counseling and therapy to individuals and groups. Diagnose and treat mental health conditions. Develop treatment plans and monitor progress."
54,Part-Time,Nurse Practitioner,5 to 12 Years,PhD,$59K-$114K,Cockburn Town,Turks and Caicos Islands,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.. Family medicine Health assessment Pediatric care Chronic disease management Patient education. Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
55,Temporary,Landscape Architect,0 to 13 Years,B.Com,$64K-$92K,Phnom Penh,Cambodia,Urban Planner,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.. Urban design and planning Zoning regulations GIS and mapping tools. Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects."
56,Temporary,Key Account Manager,5 to 15 Years,B.Tech,$60K-$102K,Monaco,Monaco,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.. Account management Client relationship Sales strategy Business development Negotiation skills. Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
57,Intern,UX Researcher,4 to 14 Years,B.Tech,$63K-$109K,Yerevan,Armenia,User Researcher,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.. User research methods Usability testing Data analysis and interpretation. Conduct user research to understand user behavior, needs, and preferences. Plan and execute user interviews, surveys, and usability studies. Analyze research findings and generate insights."
58,Temporary,Account Manager,4 to 11 Years,BA,$57K-$125K,Hagatna,Guam,Sales Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.. Account management Sales strategy Negotiation and closing skills. Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts."
59,Part-Time,Investment Banker,2 to 10 Years,B.Com,$65K-$88K,Castries,St. Lucia,Financial Analyst,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.. Financial analysis Data analysis Financial modeling. Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Create financial models and projections. Collaborate with clients on investment strategies."
60,Intern,IT Support Specialist,2 to 9 Years,BBA,$65K-$117K,Brazzaville,Republic Of Congo,Desktop Support Technician,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.. Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills. Install, configure, and maintain desktop computers and peripherals. Perform hardware and software upgrades and repairs. Manage IT inventory and asset tracking."
61,Temporary,Art Director,3 to 12 Years,BA,$61K-$111K,Belmopan,Belize,Art Curator,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.. Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness. Curate and manage art collections, exhibitions, and galleries. Research and select artworks for display. Collaborate with artists, collectors, and institutions."
62,Full-Time,Account Executive,5 to 12 Years,PhD,$57K-$125K,New Delhi,India,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.. Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge. Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas."
63,Contract,Software Developer,0 to 11 Years,M.Tech,$56K-$94K,Mogadishu,Somalia,Mobile App Developer,"Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.. Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting. Create mobile applications for iOS and Android platforms. Optimize mobile app performance and user experience. Collaborate with cross-functional teams to define app requirements."
64,Intern,Project Manager,1 to 11 Years,BCA,$65K-$121K,Islamabad,Pakistan,Agile Project Manager,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.. Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira). Facilitate agile project development, collaborate with cross-functional teams, and manage project backlogs and sprints. Coach and mentor team members on agile practices. Drive continuous improvement of agile processes."
65,Full-Time,Civil Engineer,4 to 13 Years,MCA,$65K-$84K,Bandar Seri Begawan,Brunei,Structural Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.. Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment. Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors."
